Iteration, Maximum_Velocity
1511,3.52012
1512,3.51523
1513,3.5089
1514,3.50117
1515,3.50862
1516,3.51953
1517,3.52964
1518,3.53894
1519,3.54745
1520,3.55515
1521,3.56202
1522,3.56805
1523,3.57319
1524,3.57741
1525,3.58067
1526,3.5829
1527,3.58405
1528,3.58403
1529,3.58972
1530,3.60345
1531,3.61532
1532,3.62534
1533,3.6335
1534,3.63983
1535,3.64445
1536,3.64753
1537,3.64894
1538,3.64852
1539,3.64628
1540,3.64222
1541,3.63633
1542,3.62862
1543,3.61907
1544,3.60769
1545,3.59447
1546,3.5794
1547,3.56249
1548,3.54372
1549,3.52311
1550,3.50065
1551,3.47634
1552,3.45021
1553,3.45845
1554,3.50772
1555,3.55318
1556,3.59491
1557,3.63302
1558,3.66764
1559,3.69891
1560,3.72699
1561,3.75203
1562,3.77422
1563,3.79371
1564,3.81069
1565,3.82531
1566,3.83774
1567,3.84815
1568,3.85666
1569,3.86343
1570,3.8686
1571,3.87238
1572,3.87489
1573,3.87613
1574,3.87619
1575,3.87516
1576,3.87312
1577,3.87012
1578,3.86623
1579,3.8615
1580,3.85596
1581,3.84965
1582,3.84259
1583,3.83481
1584,3.8263
1585,3.81707
1586,3.80728
1587,3.79692
1588,3.78592
1589,3.77426
1590,3.76182
1591,3.74855
1592,3.73659
1593,3.74039
1594,3.74387
1595,3.74701
1596,3.7498
1597,3.75223
1598,3.7543
1599,3.75597
1600,3.75724
1601,3.75809
1602,3.75849
1603,3.75844
1604,3.75805
1605,3.75729
1606,3.756
1607,3.75415
1608,3.75172
1609,3.74866
1610,3.74495
1611,3.74728
1612,3.75503
1613,3.76226
1614,3.76906
1615,3.77541
1616,3.7811
1617,3.78611
1618,3.79037
1619,3.79382
1620,3.79641
1621,3.79807
1622,3.79872
1623,3.79831
1624,3.79675
1625,3.79396
1626,3.78987
1627,3.78438
1628,3.77741
1629,3.76888
1630,3.75868
1631,3.74672
1632,3.7329
1633,3.71712
1634,3.69927
1635,3.67925
1636,3.65694
1637,3.63682
1638,3.63184
1639,3.62654
1640,3.62092
1641,3.61497
1642,3.60871
1643,3.60213
1644,3.59538
1645,3.58845
1646,3.58119
1647,3.59615
1648,3.60973
1649,3.62115
1650,3.63035
1651,3.63724
1652,3.64176
1653,3.64398
1654,3.64383
1655,3.64111
1656,3.63579
1657,3.62782
1658,3.61733
1659,3.6044
1660,3.58886
1661,3.57074
1662,3.55007
1663,3.52679
1664,3.50378
1665,3.52911
1666,3.55083
1667,3.56885
1668,3.58308
1669,3.59347
1670,3.59996
1671,3.60252
1672,3.6011
1673,3.59571
1674,3.58634
1675,3.57301
1676,3.55575
1677,3.53462
1678,3.53796
1679,3.55126
1680,3.5646
1681,3.57794
1682,3.59797
1683,3.62102
1684,3.64164
1685,3.65989
1686,3.6757
1687,3.68913
1688,3.70024
1689,3.7091
1690,3.71576
1691,3.72038
1692,3.723
1693,3.72626
1694,3.73645
1695,3.74613
1696,3.75518
1697,3.76356
1698,3.7712
1699,3.77804
1700,3.78402
1701,3.78906
1702,3.79309
1703,3.79605
1704,3.79784
1705,3.79839
1706,3.7976
1707,3.79538
1708,3.79164
1709,3.78626
1710,3.77914
1711,3.7703
1712,3.75963
1713,3.74686
1714,3.73185
1715,3.71446
1716,3.69455
1717,3.67198
1718,3.6466
1719,3.63901
1720,3.6533
1721,3.66627
1722,3.67794
1723,3.68834
1724,3.69749
1725,3.70541
1726,3.7121
1727,3.71759
1728,3.72187
1729,3.72496
1730,3.72685
1731,3.72754
1732,3.72703
1733,3.72531
1734,3.72252
1735,3.71864
1736,3.71671
1737,3.74965
1738,3.78286
1739,3.81623
1740,3.84966
1741,3.88303
1742,3.91623
1743,3.94923
1744,3.98192
1745,4.01406
1746,4.04554
1747,4.07623
1748,4.10601
1749,4.13479
1750,4.16245
1751,4.1889
1752,4.21405
1753,4.23781
1754,4.26009
1755,4.28083
1756,4.29996
1757,4.31741
1758,4.33311
1759,4.347
1760,4.35903
1761,4.36913
1762,4.37725
1763,4.38332
1764,4.38729
1765,4.38908
1766,4.38863
1767,4.38587
1768,4.38086
1769,4.37351
1770,4.3636
1771,4.35103
1772,4.33586
1773,4.31798
1774,4.29714
1775,4.27323
1776,4.24614
1777,4.21576
1778,4.18204
1779,4.14489
1780,4.10425
1781,4.06003
1782,4.01196
1783,3.95996
1784,3.90395
1785,3.84387
1786,3.77966
1787,3.71127
1788,3.63871
1789,3.56198
1790,3.4811
1791,3.43445
1792,3.44069
1793,3.44691
1794,3.45309
1795,3.46174
1796,3.47587
1797,3.48851
1798,3.49971
1799,3.50952
1800,3.51801
1801,3.52522
1802,3.53122
1803,3.53605
1804,3.53976
1805,3.54241
1806,3.54405
1807,3.54472
1808,3.54446
1809,3.54333
1810,3.54135
1811,3.54149
1812,3.54484
1813,3.54787
1814,3.55055
1815,3.55297
1816,3.55511
1817,3.55683
1818,3.5581
1819,3.5589
1820,3.5592
1821,3.55898
1822,3.5582
1823,3.55683
1824,3.55485
1825,3.55222
1826,3.54893
1827,3.54494
1828,3.54022
1829,3.53474
1830,3.52848
1831,3.5214
1832,3.5187
1833,3.52046
1834,3.52228
1835,3.52419
1836,3.52608
1837,3.52796
1838,3.52984
1839,3.5317
1840,3.53356
1841,3.53542
1842,3.53726
1843,3.5391
1844,3.54093
1845,3.54276
1846,3.54458
1847,3.55517
1848,3.5684
1849,3.58095
1850,3.59287
1851,3.60419
1852,3.61496
1853,3.6252
1854,3.63494
1855,3.64421
1856,3.65304
1857,3.66143
1858,3.66941
1859,3.677
1860,3.687
1861,3.72675
1862,3.76421
1863,3.79932
1864,3.83197
1865,3.86216
1866,3.88988
1867,3.91517
