Iteration,Mean Rebuild Frequency
1726,13.87
1727,13.88
1728,13.89
1729,13.9
1730,13.91
1731,13.92
1732,13.93
1733,13.94
1734,13.95
1735,13.96
1736,13.97
1737,13.98
1738,13.99
1739,14
1740,14.01
1741,13.8812
1742,13.8911
1743,13.901
1744,13.9109
1745,13.9208
1746,13.9307
1747,13.9406
1748,13.9505
1749,13.9604
1750,13.9703
1751,13.9802
1752,13.9901
1753,14
1754,14.0099
1755,13.8824
1756,13.8922
1757,13.902
1758,13.9118
1759,13.9216
1760,13.9314
1761,13.9412
1762,13.951
1763,13.9608
1764,13.9706
1765,13.9804
1766,13.9902
1767,14
1768,13.8738
1769,13.8835
1770,13.8932
1771,13.9029
1772,13.9126
1773,13.9223
1774,13.932
1775,13.9417
1776,13.9515
1777,13.9612
1778,13.9709
1779,13.9806
1780,13.9903
1781,13.8654
1782,13.875
1783,13.8846
1784,13.8942
1785,13.9038
1786,13.9135
1787,13.9231
1788,13.9327
1789,13.9423
1790,13.9519
1791,13.9615
1792,13.9712
1793,13.9808
1794,13.9904
1795,14
1796,14.0096
1797,13.8857
1798,13.8952
1799,13.9048
1800,13.9143
1801,13.9238
1802,13.9333
1803,13.9429
1804,13.9524
1805,13.9619
1806,13.9714
1807,13.981
1808,13.9905
1809,14
1810,14.0095
1811,14.019
1812,14.0286
1813,13.9057
1814,13.9151
1815,13.9245
1816,13.934
1817,13.9434
1818,13.9528
1819,13.9623
1820,13.9717
1821,13.9811
1822,13.9906
1823,14
1824,14.0094
1825,14.0189
1826,14.0283
1827,14.0377
1828,14.0472
1829,13.9252
1830,13.9346
1831,13.9439
1832,13.9533
1833,13.9626
1834,13.972
1835,13.9813
1836,13.9907
1837,14
1838,14.0093
1839,14.0187
1840,14.028
1841,14.0374
1842,14.0467
1843,14.0561
1844,14.0654
1845,13.9444
1846,13.9537
1847,13.963
1848,13.9722
1849,13.9815
1850,13.9907
1851,14
1852,14.0093
1853,14.0185
1854,14.0278
1855,14.037
1856,14.0463
1857,14.0556
1858,14.0648
1859,14.0741
1860,14.0833
1861,13.9633
1862,13.9725
1863,13.9817
1864,13.9908
1865,14
1866,14.0092
1867,14.0183
1868,14.0275
1869,14.0367
1870,14.0459
1871,14.055
1872,14.0642
1873,14.0734
1874,14.0826
1875,13.9636
1876,13.9727
1877,13.9818
1878,13.9909
1879,14
1880,14.0091
1881,14.0182
1882,14.0273
1883,14.0364
1884,14.0455
1885,14.0545
1886,14.0636
1887,14.0727
1888,14.0818
1889,13.964
1890,13.973
1891,13.982
1892,13.991
1893,14
1894,14.009
1895,14.018
1896,14.027
1897,14.036
1898,14.045
1899,14.0541
1900,14.0631
1901,14.0721
1902,14.0811
1903,14.0901
1904,13.9732
1905,13.9821
1906,13.9911
1907,14
1908,14.0089
1909,14.0179
1910,14.0268
1911,14.0357
1912,14.0446
1913,14.0536
1914,14.0625
1915,14.0714
1916,14.0804
1917,14.0893
1918,14.0982
1919,13.9823
1920,13.9912
1921,14
1922,14.0088
1923,14.0177
1924,14.0265
1925,14.0354
1926,14.0442
1927,14.0531
1928,14.0619
1929,14.0708
1930,14.0796
1931,14.0885
1932,14.0973
1933,14.1062
1934,13.9912
1935,14
1936,14.0088
1937,14.0175
1938,14.0263
1939,14.0351
1940,14.0439
1941,14.0526
1942,14.0614
1943,14.0702
1944,14.0789
1945,14.0877
1946,14.0965
1947,14.1053
1948,14.114
1949,14
1950,14.0087
1951,14.0174
1952,14.0261
1953,14.0348
1954,14.0435
1955,14.0522
1956,14.0609
1957,14.0696
1958,14.0783
1959,14.087
1960,14.0957
1961,14.1043
1962,14.113
1963,14.1217
1964,14.0086
1965,14.0172
1966,14.0259
1967,14.0345
1968,14.0431
1969,14.0517
1970,14.0603
1971,14.069
1972,14.0776
1973,14.0862
1974,14.0948
1975,14.1034
1976,14.1121
1977,14.1207
1978,14.1293
1979,14.0171
1980,14.0256
1981,14.0342
1982,14.0427
1983,14.0513
1984,14.0598
1985,14.0684
1986,14.0769
1987,14.0855
1988,14.094
1989,14.1026
1990,14.1111
1991,14.1197
1992,14.1282
1993,14.1368
1994,14.0254
1995,14.0339
1996,14.0424
1997,14.0508
1998,14.0593
1999,14.0678
2000,14.0763
2001,14.0847
2002,14.0932
2003,14.1017
2004,14.1102
2005,14.1186
2006,14.1271
2007,14.1356
2008,14.1441
2009,14.0336
2010,14.042
2011,14.0504
