Iteration, Estimated
1889,74.8757
1890,74.7732
1891,74.6718
1892,74.5715
1893,74.4724
1894,74.3745
1895,74.2778
1896,74.1822
1897,74.0879
1898,73.9948
1899,73.9029
1900,73.8123
1901,73.7229
1902,73.6347
1903,73.5478
1904,73.4622
1905,73.3778
1906,73.2947
1907,73.2129
1908,73.1324
1909,73.0531
1910,72.9752
1911,72.8985
1912,72.8231
1913,72.749
1914,72.6763
1915,72.6047
1916,72.5345
1917,72.4656
1918,72.398
1919,72.3316
1920,72.2665
1921,72.2027
1922,72.1402
1923,72.0789
1924,72.0189
1925,71.9602
1926,71.9027
1927,71.8465
1928,71.7914
1929,71.7376
1930,71.685
1931,71.6336
1932,71.5835
1933,71.5345
1934,71.4867
1935,71.4401
1936,71.3946
1937,71.3503
1938,71.3072
1939,71.2651
1940,71.2242
1941,71.1844
1942,71.1457
1943,71.108
1944,71.0714
1945,71.0359
1946,71.0014
1947,70.9679
1948,70.9355
1949,70.904
1950,70.8735
1951,70.844
1952,70.8155
1953,70.7879
1954,70.7612
1955,70.7355
1956,70.4516
1957,69.7216
1958,69.0942
1959,68.5546
1960,68.0905
1961,67.692
1962,67.3507
1963,67.0598
1964,66.8137
1965,66.6078
1966,66.4383
1967,66.3022
1968,66.1971
1969,66.1213
1970,66.0733
1971,66.0523
1972,66.0577
1973,66.0897
1974,66.1483
1975,66.2344
1976,66.3489
1977,66.4934
1978,66.6695
1979,66.8796
1980,67.1263
1981,67.4127
1982,67.7425
1983,68.1196
1984,68.5487
1985,69.0349
1986,69.5839
1987,70.2019
1988,70.3034
1989,70.3004
1990,70.2978
1991,70.2957
1992,70.294
1993,70.2928
1994,70.292
1995,70.2916
1996,70.2916
1997,70.292
1998,70.2929
1999,70.2941
2000,70.2958
2001,70.2978
2002,70.3002
2003,70.303
2004,70.3062
2005,70.3097
2006,70.3137
2007,70.3179
2008,70.3226
2009,70.3276
2010,70.333
2011,70.3387
2012,70.3448
2013,70.3512
2014,70.358
2015,70.3651
2016,70.3726
2017,70.3804
2018,70.3886
2019,70.3971
2020,70.406
2021,70.3492
2022,69.3759
2023,68.588
2024,67.9606
2025,67.4737
2026,67.1112
2027,66.8603
2028,66.7112
2029,66.6565
2030,66.6911
2031,66.8118
2032,67.0174
2033,66.8388
2034,66.448
