Iteration, Estimate
1539,16.0385
1540,16.0552
1541,16.0796
1542,16.1117
1543,16.1515
1544,16.1993
1545,16.2552
1546,16.3194
1547,16.3922
1548,16.4737
1549,16.5642
1550,16.6641
1551,16.7736
1552,16.8931
1553,16.8552
1554,16.6325
1555,16.4325
1556,16.2534
1557,16.0933
1558,15.9509
1559,15.8245
1560,15.7128
1561,15.6146
1562,15.5287
1563,15.454
1564,15.3897
1565,15.3346
1566,15.2882
1567,15.2496
1568,15.2181
1569,15.1932
1570,15.1743
1571,15.1604
1572,15.1512
1573,15.1467
1574,15.1465
1575,15.1502
1576,15.1577
1577,15.1687
1578,15.1829
1579,15.2003
1580,15.2207
1581,15.244
1582,15.2702
1583,15.2992
1584,15.331
1585,15.3656
1586,15.4025
1587,15.4418
1588,15.4838
1589,15.5285
1590,15.5766
1591,15.6282
1592,15.675
1593,15.6601
1594,15.6465
1595,15.6342
1596,15.6233
1597,15.6138
1598,15.6058
1599,15.5993
1600,15.5944
1601,15.5911
1602,15.5895
1603,15.5897
1604,15.5912
1605,15.5942
1606,15.5992
1607,15.6063
1608,15.6158
1609,15.6278
1610,15.6422
1611,15.6332
1612,15.6029
1613,15.5749
1614,15.5486
1615,15.5241
1616,15.5022
1617,15.4831
1618,15.4668
1619,15.4536
1620,15.4438
1621,15.4375
1622,15.435
1623,15.4366
1624,15.4425
1625,15.4531
1626,15.4687
1627,15.4897
1628,15.5164
1629,15.5493
1630,15.5888
1631,15.6353
1632,15.6895
1633,15.7519
1634,15.8231
1635,15.9037
1636,15.9946
1637,16.0776
1638,16.0983
1639,16.1203
1640,16.1438
1641,16.1687
1642,16.1951
1643,16.2228
1644,16.2514
1645,16.2808
1646,16.3118
1647,16.2481
1648,16.1908
1649,16.1428
1650,16.1045
1651,16.0758
1652,16.0571
1653,16.048
1654,16.0486
1655,16.0598
1656,16.0819
1657,16.115
1658,16.1588
1659,16.2132
1660,16.2791
1661,16.3566
1662,16.446
1663,16.548
1664,16.6501
1665,16.5378
1666,16.4427
1667,16.3648
1668,16.3037
1669,16.2595
1670,16.232
1671,16.2212
1672,16.2271
1673,16.25
1674,16.2898
1675,16.3469
1676,16.4214
1677,16.5135
1678,16.4989
1679,16.4408
1680,16.3831
1681,16.3257
1682,16.2404
1683,16.1434
1684,16.0576
1685,15.9825
1686,15.9181
1687,15.8638
1688,15.8192
1689,15.7838
1690,15.7573
1691,15.739
1692,15.7286
1693,15.7157
1694,15.6755
1695,15.6376
1696,15.6023
1697,15.5698
1698,15.5403
1699,15.514
1700,15.4911
1701,15.4718
1702,15.4564
1703,15.4452
1704,15.4383
1705,15.4363
1706,15.4393
1707,15.4477
1708,15.462
1709,15.4825
